help_keyword_id,name
0,HELP_DATE
1,HELP_VERSION
2,DEFAULT
3,SERIAL
4,VALUE
5,HELP
6,ASYMMETRIC_DECRYPT
7,ASYMMETRIC_ENCRYPT
8,ASYMMETRIC_SIGN
9,ASYMMETRIC_VERIFY
10,CREATE_ASYMMETRIC_PRIV_KEY
11,CREATE_ASYMMETRIC_PUB_KEY
12,CREATE_DIGEST
13,FALSE
14,TRUE
15,BOOL
16,BOOLEAN
17,INT1
18,UNSIGNED
19,ZEROFILL
20,INT2
21,INT3
22,MIDDLEINT
23,INT4
24,INTEGER
25,INT8
26,DEC
27,FIXED
28,NUMERIC
29,DECIMAL
30,FLOAT4
31,FLOAT8
32,PRECISION
33,REAL
34,DATE
35,TIMESTAMP
36,TIME
37,CHARACTER
38,NATIONAL
39,NCHAR
40,BYTE
41,CHAR
42,NVARCHAR
43,VARCHARACTER
44,VARYING
45,LONG
46,LONGBINARY
47,ADD
48,ALTER
49,CREATE
50,INDEX
51,KEY
52,TABLE
53,=
54,<=>
55,<>
56,<=
57,<
58,>=
59,>
60,AND
61,BETWEEN
62,NOT
63,COALESCE
64,EXISTS
65,GREATEST
66,IN
67,INTERVAL
68,IS
69,NULL
70,ISNULL
71,LEAST
72,OR
73,XOR
74,:=
75,CASE
76,ELSE
77,END
78,THEN
79,WHEN
80,IF
81,IFNULL
82,NULLIF
83,+
84,-
85,*
86,/
87,DIV
88,MOD
89,ABS
90,ACOS
91,ASIN
92,ATAN
93,ATAN2
94,CEIL
95,CEILING
96,CONV
97,COS
98,COT
99,CRC32
100,DEGREES
101,EXP
102,FLOOR
103,LN
104,LOG
105,LOG2
106,LOG10
107,%
108,PI
109,POW
110,POWER
111,RADIANS
112,RAND
113,ROUND
114,SIGN
115,SIN
116,SQRT
117,TAN
118,TRUNCATE
119,ADDDATE
120,ADDTIME
121,CONVERT_TZ
122,CURDATE
123,CURRENT_DATE
124,CURRENT_TIME
125,CURRENT_TIMESTAMP
126,CURTIME
127,DATEDIFF
128,DATE_ADD
129,DATE_SUB
130,DAY
131,DAY_HOUR
132,DAY_MINUTE
133,DAY_SECOND
134,HOUR
135,HOUR_MINUTE
136,HOUR_SECOND
137,MINUTE
138,MINUTE_SECOND
139,MONTH
140,SECOND
141,YEAR
142,YEAR_MONTH
143,DATE_FORMAT
144,DAYNAME
145,DAYOFMONTH
146,DAYOFWEEK
147,DAYOFYEAR
148,EXTRACT
149,FROM_DAYS
150,FROM_UNIXTIME
151,GET_FORMAT
152,LAST_DAY
153,LOCALTIME
