help_topic_id,help_keyword_id
0,0
1,1
2,2
2,3
2,3
3,5
4,6
5,7
6,8
7,9
8,10
9,11
10,12
11,13
11,13
12,13
12,13
14,15
14,15
14,15
14,15
14,15
15,15
16,20
17,21
17,21
18,18
18,19
18,18
18,23
20,19
20,18
20,18
21,19
21,18
21,26
21,27
21,19
22,29
23,18
23,19
23,30
24,18
24,19
24,19
24,18
24,31
26,34
28,35
29,36
31,37
31,37
31,37
32,40
32,41
33,38
33,37
33,38
33,43
33,38
42,45
42,45
52,47
52,47
52,47
52,49
52,48
52,48
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
60,61
61,61
61,61
62,63
63,64
64,62
64,62
65,65
66,66
67,62
67,62
68,67
69,68
70,62
70,62
71,68
71,69
72,68
72,62
72,69
73,70
74,71
75,62
76,60
77,72
78,73
79,74
80,53
81,75
81,76
81,75
81,76
81,75
82,80
83,81
84,82
85,83
86,84
87,84
88,85
89,86
90,87
91,88
92,89
93,90
94,91
95,92
96,93
97,94
98,95
99,96
100,97
101,98
102,99
103,100
104,101
105,102
106,103
107,104
108,105
109,106
110,88
110,88
111,108
112,109
113,110
114,111
115,112
116,113
117,114
118,115
119,116
120,117
121,118
122,119
123,120
124,121
125,122
126,123
127,124
128,125
129,126
130,34
131,127
132,34
132,34
132,67
132,67
132,67
132,67
132,128
132,128
132,129
132,135
132,67
132,131
132,134
132,134
132,67
132,67
132,67
133,143
134,129
135,130
136,144
137,145
138,146
139,147
140,148
141,149
142,150
143,151
144,134
145,152
146,153
147,154
148,155
149,156
150,157
151,137
152,139
153,158
154,159
155,160
156,161
157,162
158,140
159,163
160,164
161,165
162,166
163,167
164,36
164,168
165,169
166,35
166,168
167,170
168,171
169,172
170,173
171,174
172,175
173,176
174,177
175,178
176,179
177,180
178,181
179,182
180,141
181,183
182,184
183,185
184,186
185,41
186,187
187,188
188,189
189,190
190,191
191,192
192,193
193,194
194,195
195,196
196,197
197,198
198,199
199,200
200,201
201,202
202,203
203,204
204,205
205,206
206,207
207,208
208,209
209,210
210,211
211,212
212,213
213,214
214,215
215,168
215,216
216,217
217,218
218,219
219,220
220,221
221,222
221,222
222,224
223,225
224,226
225,227
226,228
227,229
227,229
227,231
227,230
227,231
228,234
229,235
230,236
231,237
232,238
233,222
233,62
234,239
235,62
235,62
236,241
237,242
238,243
239,244
240,245
241,66
241,66
241,66
241,66
241,246
241,66
241,66
241,246
242,252
243,24
243,41
243,41
243,41
243,41
243,41
243,41
243,252
243,141
243,254
243,141
243,141
243,141
243,141
244,259
245,260
246,261
247,262
248,263
249,264
250,265
251,266
252,267
253,268
254,269
255,270
256,271
257,272
258,273
259,274
259,275
260,276
261,277
262,278
263,279
264,280
265,281
266,282
267,283
268,284
269,285
270,286
271,287
272,288
273,289
274,290
275,291
276,292
277,293
278,294
279,295
280,296
281,297
282,298
283,299
284,300
285,301
286,302
287,303
288,304
289,305
289,306
290,307
290,308
291,309
291,309
292,311
292,311
293,313
293,314
294,315
294,316
295,317
296,318
296,319
297,320
297,321
298,322
298,323
299,324
299,325
300,326
300,327
301,328
301,329
302,330
302,331
303,332
304,333
304,334
305,335
306,336
307,337
308,338
309,339
310,340
311,341
312,342
313,343
313,344
314,345
314,346
315,347
316,348
317,349
318,350
319,351
320,352
321,353
322,354
323,355
324,356
325,357
326,358
327,359
328,360
329,361
330,362
331,363
332,364
333,365
334,366
335,367
336,368
336,369
337,370
338,371
339,372
340,373
341,374
342,375
343,376
344,377
345,378
346,379
347,380
348,381
349,382
350,383
351,384
352,385
353,386
354,387
355,388
356,389
357,390
358,391
359,392
360,393
361,394
362,395
363,396
364,397
365,398
366,399
367,400
368,401
369,402
370,403
371,404
372,405
373,406
374,407
375,408
376,409
377,410
378,411
379,412
380,413
381,414
382,415
383,416
384,417
385,418
386,419
387,420
388,421
388,421
388,422
389,421
389,424
389,425
389,424
390,427
391,428
392,429
393,430
394,431
394,432
395,433
396,434
397,435
398,436
399,437
400,438
401,439
402,440
403,441
404,442
405,443
406,444
407,445
408,446
409,447
410,448
411,449
412,450
413,451
414,452
415,453
416,454
417,455
418,456
419,457
420,458
420,459
421,460
422,461
423,462
424,463
425,459
425,459
426,459
426,459
426,464
426,466
426,467
426,468
426,459
427,470
428,471
429,459
429,459
430,459
430,459
431,474
432,475
433,476
434,477
435,459
435,459
436,479
437,480
438,481
439,482
440,483
441,484
442,485
443,486
444,487
445,488
446,489
447,490
448,491
449,492
450,493
451,494
452,495
453,496
454,497
455,498
456,499
457,500
458,501
459,502
460,503
461,504
462,505
463,506
464,507
465,508
466,509
467,510
468,511
469,512
470,513
471,514
472,515
473,516
474,517
475,518
476,519
477,520
478,521
479,522
480,523
481,524
482,525
483,526
484,527
485,528
486,529
487,530
488,531
489,2
490,532
491,533
492,534
493,535
494,536
495,537
496,538
497,539
498,540
499,541
500,542
501,543
502,544
503,545
504,546
505,547
506,48
506,48
506,48
506,300
506,300
506,300
506,300
506,548
506,549
506,550
507,48
507,48
507,48
507,549
507,300
507,550
507,300
507,300
507,300
507,300
508,48
508,293
508,293
508,293
508,293
508,293
508,293
508,293
508,293
508,293
508,293
508,293
508,293
508,293
508,293
509,48
509,168
510,560
510,560
510,560
510,566
510,560
510,560
510,560
510,560
510,569
510,568
510,568
510,572
510,567
510,569
510,566
511,48
511,579
511,579
512,48
512,581
513,48
513,48
513,582
514,48
514,465
514,63
514,63
514,63
514,468
514,63
514,556
514,556
514,558
514,558
514,553
514,552
514,468
514,562
514,562
514,562
514,562
514,552
514,552
514,562
514,548
514,553
514,558
514,556
514,465
514,584
514,592
514,585
514,587
514,556
514,548
514,593
514,562
514,589
514,558
514,597
514,468
514,465
514,589
514,587
514,549
514,604
514,593
514,558
514,562
514,465
514,552
514,607
514,599
514,465
514,468
514,465
514,615
514,590
514,601
514,600
514,553
514,465
514,593
514,468
514,596
514,626
514,599
514,468
514,609
514,468
514,584
514,633
514,585
514,604
514,584
514,468
514,552
515,47
515,587
515,633
515,587
515,602
515,641
515,640
515,48
515,639
515,603
515,587
515,602
516,644
516,48
517,2
517,62
517,548
517,80
517,37
517,294
517,300
517,552
517,49
517,549
517,64
518,2
518,80
518,300
518,49
518,37
518,64
518,548
518,62
518,549
518,552
518,294
519,565
519,564
519,64
519,62
519,647
519,645
519,49
519,646
519,556
519,560
519,293
519,557
519,553
519,561
519,67
519,555
519,563
519,559
519,80
519,554
519,648
519,558
520,638
520,649
520,629
520,553
520,607
520,49
520,610
520,251
520,50
520,619
521,580
521,49
521,579
522,581
522,49
522,168
523,581
523,49
523,168
524,294
524,598
524,652
524,651
524,582
524,606
524,583
524,303
524,654
524,622
524,653
524,650
524,49
525,656
525,629
525,658
525,62
525,655
525,657
525,49
525,80
525,64
525,216
525,659
525,660
525,72
526,679
526,667
526,614
526,3
526,615
526,666
526,27
526,665
526,37
526,680
526,600
526,251
526,618
526,619
526,620
526,552
526,49
526,599
526,598
526,597
526,664
526,681
526,663
526,50
526,596
526,662
526,51
526,595
526,52
526,2
526,594
526,592
526,591
526,628
526,630
526,589
526,587
526,631
526,632
526,607
526,661
526,638
526,553
526,465
526,574
526,570
526,668
526,612
526,669
526,670
526,610
526,609
526,606
526,548
526,605
526,671
526,672
526,549
526,673
526,603
526,674
526,675
526,676
526,677
526,678
527,2
527,667
527,51
527,682
527,683
527,679
527,574
527,606
527,69
527,661
527,663
527,552
527,560
528,553
528,580
528,643
528,642
528,47
528,579
528,685
528,49
528,684
528,686
528,587
528,687
528,639
528,640
528,688
528,633
528,603
529,49
529,689
530,49
530,644
531,294
531,602
531,64
531,80
531,300
532,294
532,80
532,300
532,602
532,64
533,64
533,602
533,559
533,80
534,50
534,602
535,581
535,168
535,602
536,581
536,602
536,168
537,80
537,602
537,583
537,64
538,660
538,602
538,659
538,80
538,629
538,64
539,64
539,602
539,80
539,690
539,663
539,52
539,682
540,633
540,602
540,642
541,602
541,689
542,64
542,80
542,602
542,644
542,663
542,682
543,52
543,562
544,52
544,118
545,691
546,230
546,465
546,468
546,620
546,667
546,692
546,693
546,694
546,695
546,696
547,557
548,459
548,697
548,698
549,551
549,605
549,692
549,696
549,699
549,700
549,701
549,702
549,703
549,704
550,52
550,230
550,608
551,2
551,4
551,51
551,198
551,547
551,552
551,620
551,683
551,693
551,705
551,706
551,707
551,708
551,709
551,710
551,711
552,52
552,198
552,711
553,198
553,705
554,459
554,697
554,712
555,37
555,216
555,465
555,552
555,594
555,598
555,608
555,620
555,666
555,693
555,708
555,713
555,714
555,715
555,716
555,717
555,718
